Display Name    Country Code	Language Code	Identifier (Source-Name)
#Legend	hk	en	hashtag-legend
Figurino Debutantes	br	pt	figurino-debutantes
Figurino Noivas	br	pt	figurino-noivas
Figurino Tamanhos Grandes	br	pt	figurino-tamanhos-grandes
Fiji Sun	fj	en	fiji-sun
Fiji Time	fj	en	fiji-time
Filosofie Magazine	nl	nl	filosofie-magazine
Finance World	ae	en	finance-world
Financial Mail	za	en	financial-mail
Financial Mirror (Cyprus)	cy	en	financial-mirror-cyprus
Financial Nigeria Magazine	ng	en	financial-nigeria-magazine
Financial Times (Frankfurt)	gb	en	financial-times-frankfurt
Fine Fleur	fr	fr	fine-fleur-9lhr
FineScale Modeler	us	en	finescale-modeler-9yxv
Finn Roen Med Yoga	no	nb	finn-roen-med-yoga
FIPP Media Congress 2024 – Brochure	pt	en	fipp-media-congress-2024-brochure
FIRE DESIGN	de	de	fire-design-354p
FIRST CLASS INTERNATIONAL HORS SÉRIE	fr	fr	first-class-international-hors-serie-9y99
FIRST CLASS MAGAZINE INTERNATIONAL (ENGLISH)	fr	en	first-class-magazine-international-english-9y96
FIRST CLASS MAGAZINE INTERNATIONAL (FRENCH)	fr	fr	first-class-magazine-international-french-9y97
First For Women	us	en	first-for-women
Fish Farmer	gb	en	fish-farmer
Fishing & Outdoors	nz	en	fishing-and-outdoors
Fit Cook - Le Mag	ca	fr	fit-cook-le-mag
Fitness Menn - Hjemmetrening	no	nb	fitness-menn-hjemmetrening
Flanelle Magazine	ca	en	flanelle-magazine
Flap Internacional	br	pt	flap-internacional
Flight Journal	us	en	flight-journal
FloteAuto	ro	ro	floteauto-9ysk
Fly Away	es	pt	fly-away-portuguese
Fly Away (English)	es	en	fly-away-english
Fly Away (Spanish)	es	es	fly-away-spanish
Fly Fishing & Fly Tying	gb	en	fly-fishing-fly-tying
Focus (Italia)	it	it	focus-italy
FOCUS E-Bike	de	de	focus-e-bike-9br5
FOCUS Echte Verbrechen	de	de	focus-echte-verbrechen-9br3
Focus enigmistica	it	it	focus-enigmistica
Focus Extra	it	it	focus-extra
FOCUS Gesundheit	de	de	focus-gesundheit-9br4
Focus Junior	it	it	focus-junior
FOCUS Magazin	de	de	focus-magazin-9br1
FOCUS Money	de	de	focus-money-9br2
FOCUS Spezial	de	de	focus-spezial-9br7
Focus Storia	it	it	focus-storia
Focus Storia Collection	it	it	focus-storia-collection
FOCUS Tierdoktor	de	de	focus-tierdoktor-9br6
Focus Wild	it	it	focus-wild
Foiling Magazine	gb	en	foiling-magazine-9bmc
Folha 8	ao	pt	folha-8
Folha de Londrina	br	pt	folha-de-londrina
Folha de S.Paulo	br	pt	folha-de-s-paulo
Folkbladet Västerbotten	se	sv	folkbladet-vasterbotten
Food & Drink	ca	en	food-drink
Food & Wine	us	en	food-wine
Food & Wine en Español	mx	es	food-wine-en-espanol
Food & Wine Italia	it	it	food-wine-italia
Food and Travel (Germany)	de	de	food-and-travel-germany
Food and Travel (UK)	gb	en	food-and-travel-uk
Food Traveler	us	en	food-traveler
Foodie Explorers	gb	en	foodie-explorers-9wdj
Foodies	nl	nl	foodies
Footwear News	us	en	footwear-news
Forbes	us	en	forbes
Forbes (Argentina)	ar	es	forbes-argentina
Forbes (Hungary)	hu	hu	forbes-hungary
Forbes África Lusófona	pt	pt	forbes-africa-lusofona
Forbes Afrique	fr	fr	forbes-afrique
Forbes Afrique Hors Série	fr	fr	forbes-afrique-hors-serie
Forbes Ecuador	ec	es	forbes-ecuador
Forbes Mexico	mx	es	forbes-mexico
Forbes Middle East	ae	en	forbes-middle-east
Forbes Middle East (Arabic)	ae	ar	forbes-middle-east-arabic
Forbes Portugal	pt	pt	forbes-portugal
Foreign Affairs	us	en	foreign-affairs
Foreword Reviews	us	en	foreword-reviews
Formel 1	dk	da	formel-1-9lz1
Formel 1	se	sv	formel1
Formsanté	tr	tr	formsante
Formsante İyi Yaşa	ae	en	formsante-iyi-yasa
Fórmula Moto	es	es	formula-moto1
Forschung	at	de	forschung
Forskning & Framsteg	se	sv	forskning-framsteg
Fort Bragg Advocate-News	us	en	fort-bragg-advocate-news
FORTE Magazine	it	it	forte-magazine
Fortean Times	gb	en	fortean-times
Fortnite - Oberoande & inofficiell guide	se	sv	fortnite-oberoande-and-inofficiell-guide
Fortnite - Uavhengig og uoffisiell guide	no	nb	fortnite-uavhengig-og-uoffisiell-guide
Fortnite: Battle Royale	se	sv	fortnite-battle-royale
Fortuna	ar	es	fortuna
Fortune	us	en	fortune
Fortune (Turkey)	tr	tr	fortune-turkey
Fortune Italia	it	it	fortune-italia
Fortune Times (Singapore)	sg	zh	fortune-times-singapore
Fotbolls VM	se	sv	fotbolls-vm
Fotbollsbibeln – Allsvenskan	se	sv	fotbollsbibeln-allsvenskan
Fotografe Melhor	br	pt	fotografe-melhor
Fotogramas	es	es	fotogramas
FourFourTwo	gb	en	fourfourtwo
FourFourTwo - Arsbok	se	sv	fourfourtwo-arsbok
Frågesport på väg	se	sv	fragesport-pa-vag
Frågor och svar inom vetenskap	se	sv	fragor-och-svar-inom-vetenskap
Framtid i Nord	no	nb	framtid-i-nord
France BASKET	fr	fr	france-basket
France Patrimoine	fr	fr	france-patrimoine-228d
Franchising Magazine USA	us	en	franchising-magazine-usa-9xwt
Frankfurter Allgemeine Quarterly	de	de	frankfurter-allgemeine-quarterly
Frankie	au	en	frankie
Franklin County News	nz	en	franklin-county-news
Frascati Poesia	it	it	frascati-poesia
Fraser Coast Life & Style	au	en	fraser-coast-life-style
Frases e Cia	br	pt	frases-e-cia-9ybi
Fraternité Matin	ci	fr	fraternite-matin
Freizeit Revue Royal	de	de	freizeit-revue-royal-447v
Frequent Flyer Destinations	us	en	frequent-flyer-destinations
Freundin	de	de	freundin-36fb
Friday	ae	en	friday
Friedberger Allgemeine	de	de	friedberger-allgemeine
Friends and foes	in	en	friends-and-foes-4514
Frome Standard	gb	en	frome-standard
Frontera	mx	es	frontera
FrontLine	in	en	frontline
Frontline Heroes	us	en	frontline-heroes
Frost	se	sv	frost
Fucsia	co	es	fucsia
Fudan  Journal (Social Sciences Edition)	cn	zh	fudan-journal-social-sciences-edition
Fugues	ca	fr	fugues
Fujingaho（婦人画報）	jp	ja	fujingaho
Fulton Sun (ArchiveXML)	us	en	fulton-sun-archivexml
Fun Amigurumi Magazine	nl	en	fun-amigurumi-magazine
Fun Crochet Magazine	nl	en	fun-crochet-magazine
Funds & Markets	es	es	funds-markets
Fuoristrada e motocross d'epoca	it	it	fuoristrada-e-motocross-d-epoca
Fusca & CIA	br	pt	fusca-e-cia
Fusion	gb	en	fusion-9yxz
Future Flight Magazine	za	en	future-flight-magazine
Future Music	gb	en	future-music-9629
Fuxico	br	pt	fuxico
Fædrelandsvennen	no	nb	faedrelandsvennen
Gå deg i form	no	nb	ga-deg-i-form
Ga dig i form (Sweden)	se	sv	ga-dig-i-form-sweden
GA Voice	us	en	ga-voice
Gabon Matin	ga	fr	gabon-matin
Gabriel Bokobokids (English)	es	en	gabriel-bokobokids-english
Gabriel Bokobokids (French)	es	fr	gabriel-bokobokids-french
Gabriel Bokobokids (Spanish)	es	es	gabriel-bokobokids-spanish
Gabrielle	ca	fr	gabrielle
Gadget	es	es	gadget
Gadget Portugal	pt	pt	gadget-portugal
GADGETS Magazine	ph	en	gadgets-magazine-22jv
Gala	fr	fr	gala
GALA Magazine	se	sv	gala-magazine
Galston, Glenorie and Hills Rural News	au	en	galston-glenorie-and-hills-rural-news
Game Pro	it	it	game-pro
Garage	ph	en	garage
Garavi Gujarat	gb	gu	garavi-gujarat
Garden Answers (UK)	gb	en	garden-answers-uk
Garden Gate	us	en	garden-gate
Garden News (UK)	gb	en	garden-news-uk
Garden Rail	gb	en	garden-rail
Garden Style	de	de	garden-style
Gardener's World (Netherlands)	nl	nl	gardeners-world-netherlands
Gardening Australia	au	en	gardening-australia
Gardens Illustrated Magazine	gb	en	gardens-illustrated-magazine
Gastroplanet	es	es	gastroplaneteamd
Gatto Magazine	it	it	gatto-magazine
Gault & Millau Magazine	fr	fr	gault-millau-magazine
Gay Times Magazine	gb	en	gay-times-magazine
Gazet van Antwerpen Stad en Rand	be	nl	gazet-van-antwerpen-stad-en-rand
Gazeta Dita	al	sq	gazeta-dita
Gazeta Shqiptare	al	sq	gazeta-shqiptare
Gazeta Wyborcza - Wydanie Główne	pl	pl	gazeta-wyborcza-0557
Gazoline	fr	fr	gazoline
Gear Patrol Magazine	us	en	gear-patrol-9ywg
Geek Junior	fr	fr	geek-junior
Geelong Advertiser	au	en	geelong-advertiser
Gegen vergessen Für Demokratie	de	de	gegen-vergessen-fur-demokratie-9y79
Geislinger Zeitung	de	de	geislinger-zeitung
Generations	us	en	generations
GENTE	it	it	gente-italy
Gente (Argentina)	ar	es	gente-argentina
Gente Bien	mx	es	el-informador-gente-bien
Gentologie	ca	fr	gentologie
Geographical	gb	en	geographical
George Herald	za	af	george-herald
Georgia	ae	en	supplements-georgia
Germany	ae	en	supplements-germany
Geronimo Stilton	it	it	geronimo-stilton
Gestion HEC Montréal	ca	fr	gestion-hec-montreal-799d
Gesundheit & Hygiene	de	de	gesundheit-hygiene
Get It (South Africa)	za	en	get-it-jhbnorth-south-africa
Getaway	us	en	getaway
Getaway (South Africa)	za	en	getaway-south-africa
GETEX Show Guide	ae	en	supplements-getex-show-guide
Giallo Zafferano	it	it	giallo-zafferano
Giardino Antico	it	it	giardino-antico
Gin Magazine	gb	en	gin-magazine
GINZA	jp	ja	ginza
GINZA Extra Issue	jp	ja	ginza-extra-issue
GINZA Zoukan	jp	ja	ginza-zoukan
Girls' Life	us	en	girls-life
Gjør Det Selv	dk	da	gjor-det-selv-denmark
Gjør Det Selv	no	nb	gjor-det-selv-norway
GLAM (Malaysia)	my	ms	glam-malaysia
Glamorgan Gazette	gb	en	glamorgan-gazette
Glamour (South Africa)	za	en	glamour-south-africa
Glamour (Spain)	es	es	glamour-spain
GLAMOUR Bonus Issue	za	en	glamour-bonus-issue
Glas Slavonije	hr	hr	glas-slavonije-9yvl
Glasgow Times	gb	en	glasgow-times
Glint magazine	fr	fr	glint-magazine
Global Asia	kr	en	global-asia
Global Fashion Export	es	es	global-fashion-export
Global Leaders Today	us	en	global-leaders-today-9y37
Global Movie	in	en	global-movie
Global Spa	in	en	global-spa1
Global Times	cn	en	global-times
Global Times - Weekend	cn	en	global-times-weekend
GLOBAL TIMES MAGAZINE	ch	en	global-times-magazine
GLOBAL TIMES MAGAZINE	ch	en	global-times-magazine-9zah
Global Traveler	us	en	global-traveler
Global Traveler Special	us	en	global-traveler-special
Global Trends Magazine	ch	en	global-trends-magazine
Global Trends Magazine	ch	en	global-trends-magazine-9zah
GlobalHealth Asia-Pacific	sg	en	globalhealth-asia-pacific
Globe	us	en	globe
Gloucestershire Echo	gb	en	gloucestershire-echo
Gluten Free	br	pt	gluten-free
Glütensiz Yemekler	tr	tr	gulutensiz-yemekler-9yw3
Go Gardening	nz	en	go-gardening
Go Kalahari 2021/22	za	en	go-kalahari-2021-2022
Go Outside	br	pt	go-outside-brazil
Go Where	br	pt	go-where-9yxl
Go Wild East Coast	ie	en	go-wild-east-coast
Go Wild Irish Spirits	ie	en	go-wild-irish-spirits-9y3w
Go Wild Northern Ireland	ie	en	go-wild-northern-ireland
go!	za	en	go
Go! & Express	za	en	go-express
go! Botswana	za	en	go-botswana
Go! Drive & Camp	za	en	go-camp-drive
go! Drive & Camp - Resort Guide	za	en	go-drive-camp-resort-guide
go! Drive & Camp Buyers' Guide -  Weg! Ry & Sleep Koopgids	za	en	go-drive-camp-buyers-guide-weg-ry-sleep-koopgids
Go! Drive & Camp DIY Guide	za	en	go-drive-camp-diy-guide
Go! Drive and Camp Camp Guide	za	en	go-drive-and-camp-camp-guide
Go! Drive and Camp Guide	za	en	go-drive-and-camp-guide
go! Karoo	za	en	go-karoo-test
go! Namibia	za	en	go-namibia
go! Platteland	za	en	go-platteland
go! Real Food	za	en	go-real-food-339d
Go! West Coast	za	en	go-west-coast
Go! Wild Places	za	en	go-wild-places
GOAL	se	sv	goal
Goats 101	us	en	goats-101
Gokulam Kathir	in	ta	gokulam-kathir
Gold List | Special Edition	il	en	gold-list-special-editions-9c1x
Golf Asia	sg	en	golf-asia
Golf Australia	au	en	golf-australia
Golf Digest Middle East	ae	en	golf-digest-middle-east
Golf Monthly	gb	en	golf-monthly
Golf Vacations	us	en	golf-vacations
GOLFE	pt	en	golfe
Good	nz	en	good
Good Food	gb	en	bbc-good-food
Good Health	de	de	good-health-germany
Good Housekeeping (UK)	gb	en	good-housekeeping-uk
Good Organic Gardening	au	en	good-organic-gardening
Gör det Själv	se	sv	gor-det-sjalv-se
Gorey Guardian	ie	en	gorey-guardian
GOSS	ca	en	goss
Göteborgs-Posten	se	sv	goteborgs-posten
Gotham	us	en	gotham
Gourmand - Vie Pratique	fr	fr	gourmand-vie-pratique
Gourmed Cuisine A-Z	es	en	gourmed-cuisine-a-z
Gourmet	se	sv	gourmet
Gourmet Traveller (Australia)	au	en	gourmet-traveller-australia
GP Racing	fr	fr	gp-racing
GP Racing (UK)	gb	en	f1-racing-uk
GQ	pt	pt	gq-portugal
GQ (France)	fr	fr	gq-france
GQ (Italia)	it	it	gq-italy
GQ (Japan)	jp	ja	gq-japan
GQ (México)	mx	es	gq-mexico
GQ (South Africa)	za	en	gq-south-africa
GQ (Spain)	es	es	gq-spain
GQ (Thailand)	th	th	gq-thailand
GQ Latinoamerica	mx	es	gq-latinoamerica
GQ Motors	mx	es	gq-motors
GQ Style (South Africa)	za	en	gq-style-south-africa
GQ台灣	tw	zh	gq-taiwan
Graaff-Reinet Advertiser	za	af	graaff-reinet-advertiser
Gradina Mea de Vis	ro	ro	gradina-mea-de-vis
Graduates and Post Graduates	ae	en	supplements-graduates-and-post-graduates
Graduation Section	us	en	graduation-section
Granada Hoy	es	es	granada-hoy
Grand Designs Australia	au	en	grand-designs-australia
Grand Gibier	fr	fr	grand-gibier
Grand Seigneur	fr	fr	grand-seigneur
Grandes Cuisines	fr	fr	grandes-cuisines-447f
Grandes del Rock	ar	es	grandes-del-rock
Grandes Líderes da História	br	pt	grandes-lideres-da-historia
Grandi Sudoku	it	it	grandi-sudoku
Grands Reportages	fr	fr	grands-reportages
Gransee-Zeitung	de	de	gransee-zeitung
Gränzbote	de	de	graenzbote
Graubünden Special	nl	nl	graubunden-special
Grazia (Italy)	it	it	grazia
Grazia (UK)	gb	en	grazia-uk
GRAZIA GAZETTE HAMPTONS	us	en	the-grazia-gazette-9arw
Grazia USA	us	en	grazia-usa
Great Falls Tribune	us	en	great-falls-tribune
Great Health Guide	au	en	great-health-guide
Great Thinkers of India	in	en	great-thinkers-of-india-9y7p
Great West Way Travel Magazine	gb	en	great-west-way-travel-magazine
GREATER PARIS	fr	fr	greater-paris
Green Cover	lk	en	the-green-cover
greenhome	de	de	greenhome-354b
Greenock Telegraph	gb	en	greenock-telegraph
Greenwich Time	us	en	greenwich-time
Greenwich Time (Sunday)	us	en	greenwich-time-sunday
GRESS Magazine	id	id	gress-magazine-9yq5
GRILLAT, Godare	se	sv	grillat-godare
Grillmeister	de	de	grillmeister
Grimper	fr	fr	grimper
Grimsby Telegraph	gb	en	grimsby-telegraph
Grimstad Adressetidende	no	nb	grimstad-adressetidende
Gripped	ca	en	gripped
grlz	at	de	grlz
Grocott's Mail	za	en	grocotts-mail
Grow More Save More	nz	en	grow-more-save-more
GRUNGECAKE AFRICA	us	en	grungecake-africa-5151
GS Magazine	es	es	gs-magazine
Güç Aktarim Ve Hareket Kontrol	tr	tr	guc-aktarim-ve-hareket-kontrol-447n
Guerre e Guerrieri	it	it	guerre-e-guerrieri
Guerres & Histoire	fr	fr	guerres-histoire-samx
Guerres & Histoire Hors-série	fr	fr	guerres-histoire-hs-samy
Guia Astral	br	pt	guia-astral
Guía Circuito Sostenible de Samaná	do	es	guia-circuito-sostenible-de-samana
Guia Conhecer Fantástico	br	pt	guia-conhecer-fantastico
Guia Curso de Desenho	br	pt	guia-curso-de-desenho
Guia da Casa do Construtor	br	pt	guia-da-casa-do-construtor-9yn6
Guia da Jardinagem	br	pt	guia-da-jardinagem
Guia da TV	br	pt	guia-da-teve
Guia de Artesanato	br	pt	guia-de-artesanato
Guia de Culinária	br	pt	guia-de-culinaria
Guia de Decoração	br	pt	guia-de-decoracao
Guía de Destinos Dominicanos	do	es	guia-de-destinos-dominicanos
Guia de Pilates (Brazil)	br	pt	guia-de-pilates-brazil
Guia de Tecnologia	br	pt	guia-de-tecnologia
Guia do Estudante	br	pt	guia-do-estudante
Guia dos Pets	br	pt	guia-dos-pets
Guía Ecoturística de Barahona	do	es	guia-ecoturistica-de-barahona
Guía Ecoturística de Constanza	do	es	guia-ecoturistica-de-constanza
Guía Ecoturística de Hato Mayor	do	es	guia-ecoturistica-de-hato-mayor
Guía Ecoturística de Jarabacoa	do	es	guia-ecoturistica-de-jarabacoa
Guía Ecoturística de Pedernales	do	es	guia-ecoturistica-de-pedernales
Guia Educando	br	pt	guia-educando-9yb4
Guía Gastronómica Dominicana	do	es	guia-gastronomica-dominicana
Guia Minha Saúde	br	pt	guia-minha-saude
Guia Oficial de Franquias	br	pt	guia-oficial-de-franquias-9yn7
Guía Práctica de Maternidad	ar	es	guia-practica-de-maternidad
Guia Record	pt	pt	guia-record
Guia Saúde Hoje e Sempre	br	pt	guia-saude-hoje-e-sempre
Guia Sitio e Cia	br	pt	guia-sitio-e-cia
Guías de Excelencias Cuba	es	es	guia-de-excelencias-cuba
Guide Assurance Vie	fr	fr	guide-assurance-vie
Guide Bourse	fr	fr	guide-bourse
Guide Culturel - Réseau partenaires Handle With Care	fr	fr	guide-culturel-reseau-partenaires-handle-with-care
Guide Plan d' Épargne Retraite	fr	fr	guide-plan-d-epargne-retraite
Guide Résidences étudiantes	fr	fr	guide-residences-etudiantes
Guide Retraite	fr	fr	guide-retraite
Guide SCPI	fr	fr	guide-scpi
Guide Succession	fr	fr	guide-succession-22fx
Guitar Part	fr	fr	guitar-part
Guitar Player	gb	en	guitar-player
Guitar Techniques	gb	en	guitar-techniques
Guitar World	gb	en	guitar-world
Guitare Classique	fr	fr	guitare-classique
Guitarist	gb	en	guitarist
Guitarist Acoustic	fr	fr	guitarist-acoustic
Gulf & Main	us	en	gulf-and-main
Gulf Business	ae	en	gulf-business
Gulf Business Invest	ae	en	gulf-business-invest
Gulf News	ae	en	gulf-news
Gulf Times	qa	en	gulf-times
Gulf Today	ae	en	gulf-today
Gulfood	ae	en	supplements-gulfood
Gundog Journal	gb	en	gundog-journal-798s
Guns of the Old West	us	en	guns-of-the-old-west
Günzburger Zeitung	de	de	guenzburger-zeitung
Gusto Sano	it	it	gusto-sano
Guter Rat	de	de	guter-rat-9brm
Guymon Daily Herald	us	en	guymon-daily-herald
Güzellik Yayında	tr	tr	guzellik-yayinda
Gwent Gazette	gb	en	gwent-gazette
Gwinnett Daily Post	us	en	gwinnett-daily-post-22j6
Gør Det Selv	dk	da	gor-det-selv-dk
Gør Det Selv	no	nb	gor-det-selv-norway
H Metro	zw	en	h-metro
Haaretz - English Edition	il	en	haaretz-english-edition24dm
Haaretz - English Edition (Friday)	il	en	haaretz-english-edition-friday
Haaretz - Hebrew Edition	il	he	haaretz-hebrew-edition24dn
Haaretz - Hebrew Edition (Friday)	il	he	haaretz-hebrew-edition-friday
Habanos	es	es	habanos
Habitar	co	es	habitar
Habitus	au	en	habitus
Hacker Journal	it	it	hacker-journal
Haïti Liberté	ht	en	haiti-liberte
Halifax Courier	gb	en	halifax-courier
Hallands Nyheter	se	sv	hallands-nyheter
Hallandsposten	se	sv	hallandsposten
Haller Tagblatt	de	de	haller-tagblatt
Halliday	au	en	halliday
Hälsomagasinet	se	sv	halsomagasinet
Hamburger Morgenpost	de	de	hamburger-morgenpost
Hamiinat Magazine	us	en	hamiinat-magazine
Hamilton Advertiser	gb	en	hamilton-advertiser
Hamilton Journal News	us	en	hamilton-journal-news
Hamilton Press	nz	en	hamilton-press
Hamptons Magazine	us	en	hamptons-magazine
Hanako	jp	ja	hanako
Hanako Extra Issue	jp	ja	hanako-extra-issue
Hanako Zoukan	jp	ja	hanako-zoukan
Handball Magazine	fr	fr	handball-magazine
Handbolls-VM	se	sv	handbolls-vm
Handmade Seller Magazine	us	en	handmade-seller-magazine
Happinez	de	de	happinez
Happy & Glorious	gb	en	happy-glorious
Harefield Gazette	gb	en	harefield-gazette
Hårfrisyrer på 10 minutter	no	nb	harfrisyrer-pa-10-minutter
Harian Metro	my	ms	harian-metro
härliga husjdur	se	sv	harliga-husjdur
Härligt hemma	se	sv	harligt-hemma
Härligt Hemma Höst	se	sv	harligt-hemma-special-host
Harligt Hemma special - Sommar	se	sv	harligt-hemma-special-sommar
Härligt Hemma Vår	se	sv	harligt-hemma-special-var
Harmoni I Kropp & Själ (Sweden)	se	sv	harmoni-i-kropp-sjal
Harmoni I Kropp & Sjel (Norway)	no	nb	harmoni-i-kropp-sjel-norway
Harper's Bazaar	es	es	harpers-bazaar-spain
Harper's BAZAAR (Germany)	de	de	harpers-bazaar-germany-36fc
Harper's Bazaar (India)	in	en	harpers-bazaar-india
Harper's Bazaar (Indonesia)	id	id	harpers-bazaar-indonesia
Harper's Bazaar (Italy)	it	it	harper-s-bazaar-italy
Harper's Bazaar (Malaysia)	my	en	harpers-bazaar-malaysia
Harper's Bazaar (México)	mx	es	harpers-bazaar-mexico
Harper's Bazaar (Romania)	ro	ro	harpers-bazaar
Harper's Bazaar (Singapore)	sg	en	harpers-bazaar-singapore
Harper's Bazaar (UK)	gb	en	harpers-bazaar-uk
Harper's BAZAAR（ハーパーズ バザー）	jp	ja	harpers-bazaar-japan
Hartford Courant	us	en	hartford-courant
Hartford Courant (Sunday)	us	en	hartford-courant-sunday
Harvard Deusto Business Review	es	es	harvard-deusto-business-reviewpr
Harvard Deusto Management & Innovation	es	es	harvard-deusto-management-innovationpr
Hashtag	in	en	hashtag
Hastings Leader	nz	en	hastings-leader-new-zealand
Hauraki-Coromandel Post	nz	en	hauraki-coromandel-post
Haus & Garten Test	de	de	haus-garten-test
haus+wellness*	de	de	haus-plus-wellness-354a
Havets Hemligheter	se	sv	havets-hemligheter
Hawaii	us	en	hawaii-9lge
Hawke's Bay Today	nz	en	hawkes-bay-today
Haxor - Sanningen bakom haxprocesserna	se	sv	haxor-sanningen-bakom-haxprocesserna
Hayes & Harlington Gazette	gb	en	hayes-harlington-gazette
HDTV	de	de	hd-tv
Heads Up	sg	en	heads-up
Healing Herbs	us	en	healing-herbs
Health Magazine (UAE)	ae	en	health-magazine-uae
Healthier Sleep	hk	en	healthier-sleep-5149
Healthy Eating	gb	en	healthy-eating
Heat (UK)	gb	en	heat-uk
Heidenheimer Neue Presse	de	de	heidenheimer-neue-presse
Heidenheimer Zeitung	de	de	heidenheimer-zeitung
Hela Sveriges fotboll	se	sv	hela-sveriges-fotboll
Hela Sveriges Hockey	se	sv	hela-sveriges-hockey
Helensburgh Advertiser	gb	en	helensburgh-advertiser
HELGEXTRA	se	sv	helgextra
Hell	us	en	hell
Hello Fashion Homes	tr	tr	hello-fashion-homes-9y28
Hello!	tr	tr	hello-turkey
Hello! (Thailand)	th	th	hello-thailand
HELLO! (UK)	gb	en	hello-uk
